0000:Non-Res.Grp.:00:0000:00+000000+0000000+0000000000
0001:Actual Grp. :11:0000:00+000970+0000000+0618070605
0002:- Prev. Grp.:25:0000:00+002407+0000000+0617758536
0009:Grupo Diario:01:0000:00+000000+0000000+0000000000
0100:Total Diario:00:0000:00+000000+0000000+0000000000
0101:Grueso Vtas :17:0090:00+000312+0003095+0000312069
0102:V.Canceladas:17:0000:10+000011-0000151-0000014200
0103:Entrenamient:57:0000:10+000000+0000000+0000000000
0104:Reingreso   :57:0000:10+000000+0000000+0000000000
0404:Surcharge   :1F:0050:00+000000+0000000+0000000000
0405:            :00:0000:00+000000+0000000+0000000000
0406:            :00:0000:00+000000+0000000+0000000000
0407:Dsc/Efect  $:15:0000:10+000000+0000000+0000000000
0408:DescTran%   :1D:0200:10+000096+0000096-0000016894
0409:NET SALES   :11:0000:00+000000+0000000+0000000000
0500:OTRA INGRESO:00:0000:00+000000+0000000+0000000000
0501:Rebido a Cta:57:0000:00+000000+0000000+0000000000
0502:AbonoApartad:57:0000:00+000000+0000000+0000000000
0503:Pago Luz    :57:0000:00+000000+0000000+0000000000
0504:TONGA 1     :57:0000:00+000000+0000000+0000000000
0505:TONGA 2     :57:0000:00+000000+0000000+0000000000
0506:ART.VARIOS  :57:0000:00+000000+0000000+0000000000
0507:Ingreso 7   :57:0000:00+000000+0000000+0000000000
0508:Coll.Payment:57:0000:20+000000+0000000+0000000000
0509:TOT. INGRESO:11:0000:00+000000+0000000+0000000000
0600:**PAIDOUTS**:00:0000:00+000000+0000000+0000000000
0601:Transporte  :57:0000:00+000000+0000000+0000000000
0602:Pago Mant   :57:0000:00+000000+0000000+0000000000
0603:Viaticos Var:57:0000:00+000000+0000000+0000000000
0604:Otros       :57:0000:00+000000+0000000+0000000000
0605:Pago 6      :57:0000:00+000000+0000000+0000000000
0606:Pago 6      :57:0000:00+000000+0000000+0000000000
0607:Pago 7      :57:0000:00+000000+0000000+0000000000
0608:Coll. Sales :57:0000:20+000000+0000000+0000000000
0609:EGRESO NETO :01:0000:00+000000+0000000+0000000000
0700:TAX-RESUMEN :00:0000:00+000000+0000000+0000000000
0701:Itbm E      :59:0000:00+000288+0002923+0000000000
0702:Itbm G      :59:0070:00+000019+0000021+0000000340
0703:Itbm G      :59:0100:00+000000+0000000+0000000000
0704:Itbm G      :59:0150:00+000000+0000000+0000000000
0709:TAX Total   :01:0000:00+000000+0000000+0000000000
0710:            :00:0000:00+000000+0000000+0000000000
0711:Total   (0) :47:0000:00+000288+0002923+0000258651
0712:Total   (7) :47:0000:00+000019+0000021+0000004846
0713:Total   (10):47:0000:00+000000+0000000+0000000000
0714:Total   (15):47:0000:00+000000+0000000+0000000000
0720:            :00:0000:00+000000+0000000+0000000000
0721:Deposit (0) :47:0000:00+000000+0000000+0000000000
0722:Deposit (7) :47:0000:00+000000+0000000+0000000000
0723:Deposit (10):47:0000:00+000000+0000000+0000000000
0724:Deposit (15):47:0000:00+000000+0000000+0000000000
0730:            :00:0000:00+000000+0000000+0000000000
0731:Refund  (0) :47:0000:00+000000+0000000+0000000000
0732:Refund  (7) :47:0000:00+000000+0000000+0000000000
0733:Refund  (10):47:0000:00+000000+0000000+0000000000
0734:Refund  (15):47:0000:00+000000+0000000+0000000000
0740:            :00:0000:00+000000+0000000+0000000000
0741:            :00:0000:00+000000+0000000+0000000000
0742:            :00:0000:00+000000+0000000+0000000000
0743:            :00:0000:00+000000+0000000+0000000000
0744:            :00:0000:00+000000+0000000+0000000000
0790:            :00:0000:00+000000+0000000+0000000000
0791:            :00:0000:00+000000+0000000+0000000000
0792:            :00:0000:00+000000+0000000+0000000000
0793:            :00:0000:00+000000+0000000+0000000000
0794:            :00:0000:00+000000+0000000+0000000000
0799:            :00:0000:00+000000+0000000+0000000000
0800:ESTADISTICAS:00:0000:00+000000+0000000+0000000000
0801:Total Vtas  :47:0000:00+000296+0002944+0000263497
0802:Accion Audit:47:0000:00+000000+0000000+0000000000
0803:Sin Ventas  :45:0000:00+000000+0000000+0000000000
0804:Total Caja  :47:0000:00+000000+0000000+0000000000
0805:Cambio Medio:45:0000:00+000000+0000000+0000000000
0806:Item x Scann:47:0000:00+000000+0000000+0000000000
0807:Item x Tecla:47:0000:00+000296+0002944+0000297869
0808:Vent x Dpt  :47:0000:00+000000+0000000+0000000000
0810:Trans.Resume:00:0000:00+000000+0000000+0000000000
0811:Vtas        :47:0000:20+000000+0000000+0000000000
0812:Cancelado   :47:0000:00+000000+0000000+0000000000
0813:Retornos    :47:0000:00+000000+0000000+0000000000
0820:*PROMOCION**:00:0000:00+000000+0000000+0000000000
0821:Mark Downs  :57:0000:00+000000+0000000+0000000000
0822:Price Verify:57:0000:00+000000+0000000+0000000000
0823:Set Prices  :57:0000:00+000000+0000000+0000000000
0824:Commission  :46:0000:00+000000+0000000+0000000000
0825:Qty Discount:57:0000:00+000000+0000000+0000000000
0826:Special Sale:57:0000:00+000000+0000000+0000000000
0827:Happy Hour  :57:0000:00+000000+0000000+0000000000
0828:Prize Items :57:0000:00+000000+0000000+0000000000
0829:TL REDUCTION:01:0000:00+000000+0000000+0000000000
0830:BONUS POINTS:00:0000:00+000000+0000000+0000000000
0831:On Items    :56:0000:01+000000+0000000+0000000000
0832:On Totals   :56:0000:01+000000+0000000+0000000000
0834:Redeemed    :56:0000:01+000000+0000000+0000000000
0835:On Items  NN:56:0000:00+000000+0000000+0000000000
0836:On Totals NN:56:0000:00+000000+0000000+0000000000
0837:On Sets NN  :56:0000:00+000000+0000000+0000000000
0838:Redeemed  NN:56:0000:00+000000+0000000+0000000000
0839:TL POINTS   :02:0000:00+000000+0000000+0000000000
0840:**REVISION**:00:0000:00+000000+0000000+0000000000
0841:Trans.Ventas:57:0000:00+000296+0002944+0000263497
0842:Ventas Cance:57:0000:00+000000+0000000+0000000000
0843:Trans devue.:57:0000:00+000000+0000000+0000000000
0844:Ret. Voids  :57:0000:00+000000+0000000+0000000000
0845:Recvd on Acc:57:0000:00+000000+0000000+0000000000
0846:RoA. Voids  :57:0000:00+000000+0000000+0000000000
0847:Paidouts    :57:0000:00+000000+0000000+0000000000
0848:PdO. Voids  :57:0000:00+000000+0000000+0000000000
0849:NET TOTAL   :01:0000:00+000000+0000000+0000000000
0850:*CATEGORIES*:00:0000:00+000000+0000000+0000000000
0851:x  51:47:0000:00+000000+0000000+0000000000
0852:Category  52:47:0000:00+000000+0000000+0000000000
0853:Category  53:47:0000:00+000000+0000000+0000000000
0854:Category  54:47:0000:00+000000+0000000+0000000000
0855:Category  55:47:0000:00+000000+0000000+0000000000
0856:Category  56:47:0000:00+000000+0000000+0000000000
0857:Category  57:47:0000:00+000000+0000000+0000000000
0858:Category  58:47:0000:00+000000+0000000+0000000000
0861:Category  61:47:0000:00+000000+0000000+0000000000
0862:Category  62:47:0000:00+000000+0000000+0000000000
0863:Category  63:47:0000:00+000000+0000000+0000000000
0864:Category  64:47:0000:00+000000+0000000+0000000000
0865:Category  65:47:0000:00+000000+0000000+0000000000
0866:Category  66:47:0000:00+000000+0000000+0000000000
0867:Category  67:47:0000:00+000000+0000000+0000000000
0868:Category  68:47:0000:00+000000+0000000+0000000000
0871:Category  71:47:0000:00+000000+0000000+0000000000
0872:Category  72:47:0000:00+000000+0000000+0000000000
0873:Category  73:47:0000:00+000000+0000000+0000000000
0874:Category  74:47:0000:00+000000+0000000+0000000000
0875:Category  75:47:0000:00+000000+0000000+0000000000
0876:Category  76:47:0000:00+000000+0000000+0000000000
0877:Category  77:47:0000:00+000000+0000000+0000000000
0878:Category  78:47:0000:00+000000+0000000+0000000000
0881:Category  81:47:0000:00+000000+0000000+0000000000
0882:Category  82:47:0000:00+000000+0000000+0000000000
0883:Category  83:47:0000:00+000000+0000000+0000000000
0884:Category  84:47:0000:00+000000+0000000+0000000000
0885:Category  85:47:0000:00+000000+0000000+0000000000
0886:Category  86:47:0000:00+000000+0000000+0000000000
0887:Category  87:47:0000:00+000000+0000000+0000000000
0888:Category  88:47:0000:00+000000+0000000+0000000000
0891:Category  91:47:0000:00+000000+0000000+0000000000
0892:Category  92:47:0000:00+000000+0000000+0000000000
0893:Category  93:47:0000:00+000000+0000000+0000000000
0894:Category  94:47:0000:00+000000+0000000+0000000000
0895:Category  95:47:0000:00+000000+0000000+0000000000
0896:Category  96:47:0000:00+000000+0000000+0000000000
0897:Category  97:47:0000:00+000000+0000000+0000000000
0898:Category  98:47:0000:00+000000+0000000+0000000000
0900:*EFICIENCIA*:00:0000:00+000000+0000000+0000000000
0901:T. Trabajado:11:0000:00+000312+0000312+0000028436
0902:T. Bloqueado:25:0000:00+000000+0000000+0000000000
0903:T.Fondo Fijo:25:0000:00+000000+0000000+0000000000
0904:T. Reporte  :27:0000:00+000000+0000000+0000000000
0905:T. Activo   :27:0000:00+000307+0002944+0000001539
0906:T. Medios   :25:0000:00+000296+0000297+0000005709
0907:T. Cajon    :25:0000:00+000306+0000306+0000001325
0909:T. Ocupado  :01:0000:00+000000+0000000+0000000000
1000:Medio Pago  :00:0000:00+000000+0000000+0000000000
1001:Total Medio :25:0000:00+000296+0000297+0000263837
1002:Total F.Fijo:25:0000:00+000000+0000000+0000000000
1003:Total Retiro:15:0000:10+000000+0000000+0000000000
1004:Remanente   :15:0000:00+000000+0000000+0000000000
1005:Arqueo      :15:0000:00+000000+0000000+0000000000
1006:N/Controlado:15:0000:00+000007+0000007+0000013750
1007:Cajon Limite:41:0000:00+000000+0000000+0000000000
1008:Dolar   $   :40:0002:00+000000+0000000+0000000000
1009:Diferencias :01:0000:00+000000+0000000+0000000000
1011:            :00:0000:00+000000+0000000+0000000000
1012:            :00:0000:00+000000+0000000+0000000000
1016:            :00:0000:00+000000+0000000+0000000000
1100:MEDIOSDEPAGO:00:0000:00+000000+0000000+0000000000
1101:EFECTIVO    :25:0000:00+000256+0000254+0000201369
1102:Fondo Fijo  :65:0000:20+000000+0000000+0000000000
1103:Retiro      :57:0000:20+000000+0000000+0000000000
1105:Arqueo      :57:0000:20+000000+0000000+0000000000
1109:Diferencia  :03:0000:00+000000+0000000+0000000000
1201:VALE PANAMA :27:0000:00+000000+0000000+0000000000
1203:Retiro      :57:0000:20+000000+0000000+0000000000
1205:Arqueo      :57:0000:20+000000+0000000+0000000000
1206:            :00:0000:00+000000+0000000+0000000000
1207:            :00:0000:00+000000+0000000+0000000000
1209:Diferencia  :03:0000:00+000000+0000000+0000000000
1301:VTAS CREDITO:27:0000:10+000000+0000000+0000000000
1302:            :00:0000:00+000000+0000000+0000000000
1303:Retiro      :57:0000:00+000000+0000000+0000000000
1305:Arqueo      :57:0000:00+000000+0000000+0000000000
1309:Diferencia  :03:0000:00+000000+0000000+0000000000
1401:BONO J.XXIII:27:0000:00+000000+0000000+0000000000
1501:STAR PASS   :27:0000:00+000000+0000000+0000000000
1601:APARTADOS   :27:0000:00+000000+0000000+0000000000
1602:            :00:0000:00+000000+0000000+0000000000
1603:Retiros     :57:0000:00+000000+0000000+0000000000
1605:Arqueo      :57:0000:00+000000+0000000+0000000000
1609:Diferencias :03:0000:00+000000+0000000+0000000000
1701:GIFTCARD    :27:0000:00+000000+0000000+0000000000
1703:Retiros     :57:0000:00+000000+0000000+0000000000
1709:Diferencias :03:0000:00+000000+0000000+0000000000
1801:X N.CREDITO :27:0000:10+000000+0000000+0000000000
1802:            :00:0000:00+000000+0000000+0000000000
1803:Retiro      :57:0000:00+000000+0000000+0000000000
1805:Arqueo      :57:0000:00+000000+0000000+0000000000
1809:Diferencia  :03:0000:00+000000+0000000+0000000000
1901:ORDEN COMPRA:00:0000:10+000000+0000000+0000000000
2001:VISA        :27:0000:00+000007+0000007+0000009980
2003:Retiro      :57:0000:00+000000+0000000+0000000000
2005:Arqueo      :57:0000:00+000000+0000000+0000000000
2009:Diferencia  :03:0000:00+000000+0000000+0000000000
2101:MASTER C    :27:0000:00+000004+0000004+0000007050
2103:Retiro      :57:0000:00+000000+0000000+0000000000
2105:Arqueo      :57:0000:00+000000+0000000+0000000000
2109:Diferencia  :03:0000:00+000000+0000000+0000000000
2201:BONO DIGITAL:27:0000:00+000000+0000000+0000000000
2203:Retiro      :57:0000:00+000000+0000000+0000000000
2205:Arqueo      :57:0000:00+000000+0000000+0000000000
2209:Diferencia  :03:0000:00+000000+0000000+0000000000
2301:BECA DIGITAL:27:0000:00+000000+0000000+0000000000
2303:Retiro      :57:0000:00+000000+0000000+0000000000
2305:Arqueo      :57:0000:00+000000+0000000+0000000000
2309:Diferencia  :03:0000:00+000000+0000000+0000000000
2401:CLAVE       :27:0000:00+000025+0000025+0000031688
2403:Retiro      :57:0000:00+000000+0000000+0000000000
2405:Arqueo      :57:0000:00+000000+0000000+0000000000
2409:Diferencia  :03:0000:00+000000+0000000+0000000000
2501:VALE PMA TAR:27:0000:00+000000+0000000+0000000000
2601:BONOS PATR. :27:0000:00+000004+0000004+0000005752
2701:VTAS /FONDO :27:0000:00+000003+0000003+0000007998
3001:CHQ,PERSONAL:27:0000:00+000000+0000000+0000000000
3003:Retiro      :57:0000:00+000000+0000000+0000000000
3005:Arqueo      :57:0000:00+000000+0000000+0000000000
3009:Diferencia  :03:0000:00+000000+0000000+0000000000
3101:OTRO INGRESO:27:0000:10+000000+0000000+0000000000
3103:Retiro      :57:0000:00+000000+0000000+0000000000
3105:Arqueo      :57:0000:00+000000+0000000+0000000000
3109:Diferencia  :03:0000:00+000000+0000000+0000000000
3201:CHQGOBIERNO :27:0000:00+000000+0000000+0000000000
3203:Retiro      :57:0000:00+000000+0000000+0000000000
3209:Diferencia  :03:0000:00+000000+0000000+0000000000
3301:CHQCOMERCIAL:27:0000:00+000000+0000000+0000000000
3303:Retiro      :57:0000:00+000000+0000000+0000000000
3305:Arqueo      :57:0000:00+000000+0000000+0000000000
3309:Diferencia  :03:0000:00+000000+0000000+0000000000
3401:CHQ- COOP.  :27:0000:00+000000+0000000+0000000000
3403:Retiro      :57:0000:00+000000+0000000+0000000000
3405:Arqueo      :57:0000:00+000000+0000000+0000000000
3409:Diferencia  :03:0000:00+000000+0000000+0000000000
3501:YAPPY       :27:0000:00+000000+0000000+0000000000
3503:Retiro      :57:0000:00+000000+0000000+0000000000
3505:Arqueo      :57:0000:00+000000+0000000+0000000000
3509:Diferencia  :03:0000:00+000000+0000000+0000000000
3601:RETENCION   :27:0000:00+000000+0000000+0000000000
4001:EFECT-COPIA :25:0000:00+000000+0000000+0000000000
4002:FONDO FIJO  :25:0000:20+000000+0000000+0000000000
4003:RETIRO      :25:0000:20+000000+0000000+0000000000
4005:ARQUE0      :25:0000:20+000000+0000000+0000000000
4009:DIFERENCIA  :03:0000:00+000000+0000000+0000000000
